"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU60.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonas",5,2,68,1,3,0,2,1,4,4,1,0,3,5,3,13,4,14,66,7,0,0,0,2,0
"OTU62.p:Evosea-Evosea_X.g:Variosea_XXX",0,0,25,1,1,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU65.p:Evosea-Evosea_X.g:Filamoeba",4,1,2,2,4,0,1,2,1,0,1,2,0,0,6,1,1,1,1,0,0,1,2,5,1
"OTU66.p:Chlorophyta-Chlorophyta_X.g:Chlorosarcinopsis",2,3,5,2,8,0,71,9,6,2,4,5,11,1,4,3,3,1,30,1,9,15,8,15,17
"OTU67.p:Evosea-Evosea_X.g:Flamella",0,0,3,1,1,2,4,5,2,6,1,4,0,0,1,0,1,0,1,0,0,3,0,0,0
"OTU68.p:Evosea-Evosea_X.g:Ceratiomyxella",3,0,2,1,1,4,9,5,1,2,9,2,2,7,15,1,2,2,4,0,0,1,0,1,1
"OTU69.p:Evosea-Evosea_X.g:Flamella",4,3,1,3,9,6,4,1,3,3,3,9,6,2,14,0,5,5,2,1,10,6,6,24,7
"OTU72.p:Tubulinea-Tubulinea_X.g:Paraflabellula",0,0,4,0,0,0,1,2,3,0,1,1,17,6,3,0,0,0,0,0,0,0,0,0,0
"OTU73.p:Stramenopiles-Gyrista.g:Mayamaea",2,9,5,5,11,3,9,4,3,7,7,11,3,3,4,18,13,11,9,61,2,3,2,2,3
"OTU74.p:Evosea-Evosea_X.g:AND16-lineage_X",4,2,5,6,0,1,2,7,2,2,6,0,5,1,2,4,4,5,3,2,6,4,14,3,3
"OTU75.p:Chlorophyta-Chlorophyta_X.g:Borodinellopsis",0,0,14,164,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"OTU77.p:Evosea-Evosea_X.g:Mb5C-lineage_X",5,6,5,4,2,1,5,13,7,1,5,4,10,5,2,10,11,14,5,6,0,3,0,0,2
"OTU78.p:Chlorophyta-Chlorophyta_X.g:Nannochloris",6,19,5,4,7,4,1,4,2,1,0,3,5,3,1,10,5,10,4,17,9,10,2,10,8
"OTU79.p:Evosea-Evosea_X.g:Ceratiomyxella",4,7,3,3,9,6,1,247,2,11,10,63,9,3,13,5,5,6,3,7,8,13,17,8,11
"OTU81.p:Rhodelphidia-Rhodelphidia_X.g:Rhodelphis",1,0,3,7,6,2,3,1,1,2,1,5,2,5,0,3,22,15,34,13,0,0,1,0,0
"OTU84.p:Stramenopiles-Bigyra.g:Labyrinthulaceae_X",2,1,10,3,1,3,13,8,6,4,12,2,2,3,0,8,10,11,10,14,0,0,1,2,2
"OTU86.p:Stramenopiles-Gyrista.g:Phytophthora",1,0,0,0,1,1,1,0,1,1,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0
