#OTU ID	CKB1	CKB2	CKB3	CKB4	CKB5	CKB6	CKB7	CKB8	CKJ1	CKJ10	CKJ2	CKJ3	CKJ4	CKJ5	CKJ6	CKJ7	CKJ8	CKJ9	CKU1	CKU2	CKU3	CKU4	CKU5	CKU6	CKU7	CKU8	CKY1	CKY2	CKY3	CKY4	CKY5	CLU1	CLU2	CLU3	CLU4	CLU5	DDH1	DDH2	DDH3	DDL2	DDL22	DDL3	DDL4	DDN1	DDN2	DDN3	DDN4	DDN5	GLH1	GLH2	GLH3	GLL2	GLL3	GLL4	GLN1	GLN2	GLN3	GLN4	GLN5	JPU1	JPU2	JPU3	JPU4	JPU5	MHU1	MHU2	MHU3	MHU4	MHU5	TGH1	TGH2	TGH3	TGL2	TGL3	TGL4	TJH1	TJH2	TJH3	TJL2	TJL3	TJL4	TJN1	TJN2	TJN3	TJN4	TJN5	YMH1	YMH2	YMH3	YML2	YML3	YML4	YMN1	YMN2	YMN3	YMN4	YMN5	YMU1	YMU2	YMU3	YMU4	YMU5
OTU1009	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	21	21	28	32	20	0	14	0	1	0	3	6	6	0	8	1	0	10	12	5	8	16	5	0	5	6	9	8	27	25	24	15	23	0	0	0	1	3	2	38	36	19	34	0	7	2	26	3	0	11	14	5	12	9	0	18	4	28	4	1	1	7	0	5	20	22	5	11	16	24	43	0	1	2	0	0
OTU101	2	15	6	1	2	4	8	14	1	0	13	14	6	11	8	7	8	1	17	3	9	9	15	16	15	4	166	342	359	274	351	11	18	27	25	6	412	281	825	5	642	402	326	629	787	1040	187	541	485	176	134	419	433	428	506	1176	1085	413	490	19	8	1	12	32	347	248	589	133	158	230	365	376	369	288	664	273	275	538	439	174	388	1523	513	219	409	901	245	352	457	204	634	479	743	251	517	323	609	940	263	854	324	192
OTU1010	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	11	0	0	0	0	0	0	0	0	0	0	38	1	8	2	7	0	2	0	7	2	17	27	1	31	0	21	2	5	4	11	17	1	0	0	1	0	0	31	94	0	0	14	20	0	32	10	21	1	1	4	52	5	1	13	32	10	17	12	1	0	0	26	0	22	0	11	9	13	18	0	0	2	0	0
OTU1011	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	15	0	6	4	0	0	3	1	1	4	2	8	1	79	9	15	8	6	9	2	8	33	5	5	4	17	1	4	25	9	14	10	0	2	0	3	0	46	55	91	5	65	0	7	5	1	0	6	9	11	8	2	1	39	18	7	10	17	22	1	5	11	1	3	11	17	29	18	11	3	0	76	27	32	53
OTU1012	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	1	1	24	0	0	0	1	0	7	0	0	0	54	1	0	1	0	36	1	0	0	11	85	1	0	0	1	2	30	1	123	207	36	0	2	0	0	0	1	0	0	3	1	70	134	35	0	2	43	4	3	7	1	1	2	3	38	0	1	2	3	1	130	0	4	1	42	3	15	56	2	3	2	5	0	0
OTU1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	11	0	0	6	0	1	0	0	752	4	0	0	0	0	2	0	2	2	0	0	0	1	0	1	0	2	0	0	5	1	2	1	0	0	0	0	0
OTU1014	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	10	2	0	3	0	0	0	91	11	109	125	147	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	1	0	0	1	1	2	1
OTU1015	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	21	0	0	0	0	437	0
OTU1016	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1017	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	8	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	7	6	23	6	0	0	0	0	0	0	104	30	314	109	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	3	2	36	0	0	49	18
OTU1018	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	2	1	0	0	0	0	0	0	0	0	20	0	2	43	2	10	5	5	1	14	1	1	0	1	23	1	3	0	0	0	0	0	0	0	0	0	0	0	0	10	0	9	0	0	3	27	6	2	20	3	4	0	1	12	0	0	0	14	0	8	0	16	11	16	20	63	27	2	0	0	1	2
OTU1019	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	32	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	3	0	0	6	1	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	6	4	5	0	42	157	160	3
OTU102	2	18	15	6	6	6	22	54	4	3	14	2	3	7	4	3	1	1	12	1	15	22	13	57	28	20	551	366	1359	328	1087	51	52	24	98	32	607	421	1135	18	974	387	598	1226	923	541	412	895	519	596	170	883	317	754	432	179	716	466	721	11	70	16	10	41	102	53	114	259	117	244	677	565	439	495	212	1028	239	3553	406	285	499	306	829	492	331	310	1207	1343	706	763	256	724	667	943	854	1326	485	296	301	3597	635	346
OTU1020	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	2	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	1	14	50	0	0	0	11	0	0	0	2	0	8	1	0	13	0	0	0	0	0	0	3	0	0	19	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	6	0	0	4	51	69	1	0	25	177
OTU1021	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	347	0	0
OTU1022	0	0	0	0	0	0	0	0	0	0	566	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	1	0	0	4	2	0	0	1	0	0	0	0	0	1	0	0	4	0	11	1	1	0	0	0	0	0
OTU1023	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	3	2	0	14	40	0	38	10	1	0	0	0	0	1	1	12	0	152	69	4	6	18	5	2	1	7	0	8	35	37	11	4	10	2	6	8	0	0	0	0	0	15	35	12	7	2	0	0	11	5	15	5	23	1	0	26	1	9	2	9	8	1	1	1	1	1	15	62	30	12	7	7	2	19	0	0	0	0	0
OTU1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	179	2	0	0	0	0	0	4	0	0	0	0	1	0	0	6	0	0	0	1	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	2	0	0	55	0	0	0	1	2	15	1	0	0	228	493	0
OTU1025	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	4	2	2	7	4	0	1	0	0	0	3	0	1	0	2	4	0	9	0	0	0	4	0	0	0	13	0	3	15	6	1	11	5	1	0	3	0	3	187	169	146	98	43	0	0	0	2	0	0	0	0	0	2	7	3	2	11	6	14	12	0	6	0	0	0	0	12	11	102	3	2	3	12	51	10	10
OTU1026	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	6	0	0	1	0	0	0	67	22	44	213	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	230	4	1	0	1
OTU1027	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	16	42	12	28	5	6	8	0	3	2	6	3	2	4	9	1	0	74	63	21	12	35	7	24	3	28	0	5	102	38	21	15	19	1	4	0	0	0	32	24	40	4	22	0	3	6	3	5	7	2	18	3	5	1	7	30	44	12	12	56	5	5	10	2	6	25	24	15	17	18	21	59	71	33	21	24
OTU1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	4	3	12	2	0	1	0	0	0	0	0	0	0	0	0	0	2	3	0	6	7	4	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	5	74	20	62	0	0	0	0	3	0	0	0	0	0	0	0	2	7	2	3	0	1	0	0	0	6	0	1	12	1	0	1	5	243	300	0	0	1
OTU1029	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	8	31	27	0	11	0	2	1	0	0	11	6	26	0	3	7	2	6	8	9	4	0	0	6	1	3	2	1	7	1	10	0	0	0	2	1	0	0	2	0	4	0	0	4	90	0	14	12	4	28	40	8	2	54	0	4	3	9	22	3	1	4	4	18	12	3	1	3	2	4	11	0	0	0	0	0
OTU103	57	0	0	0	0	1	5	1	0	1796	0	4	0	0	0	0	0	186	2	0	2	5	1	2	2	2	1	6	0	1	0	0	515	0	10	877	0	2	0	0	2	6	1	0	8	0	1	16	3	0	0	0	0	4	3	7	4	1	2	1	3247	477	3	6	7	4	13	20	10	3	1	3	0	0	3	2	2	0	1	4	2	5	35	3	0	0	0	1	5	0	1	5	1	4	1	4	6	144	28	4	3	21
OTU1030	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	8	1	0	0	0	0	2	1	0	0	1	2	4	1	0	13	1	5	10	104	0	0	5	27	16	2	1	0	10	8	0	0	1	0	0	0	1	0	0	0	0	0	0	8	2	0	1	0	5	66	0	27	0	17	1	10	19	0	0	0	18	2	52	3	18	52	14	8	0	0	2	0	0
OTU1031	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	2	0	5	0	4	2	0	1	12	5	5	3	4	3	0	0	0	1	0	0	167	66	71	0	1	0	0	0	0	0	0	39	52	10	8	35	4	4	0	0	0	6	4	1	1	1	0	0	0	0	0	5	3	3	0	0	0	3	53	7	0	0	0	0	1	6	3	0	2	8	2	0	1	18	0	0	0	4	1
OTU1032	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	211	110	0	45	44
