"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU40.p__Ascomycota.g__Halosphaeriaceae_gen_Incertae_sedis",4,0,4,11,0,0,3,0,2,3,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1
"OTU41.p__Ascomycota.g__Cephalotrichum",3,0,38,4,0,0,3,0,6,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
"OTU42.p__Ascomycota.g__Sordariales_gen_Incertae_sedis",0,3,1,1,7,3,5,3,4,111,0,1,1,3,0,6,0,5,3,1,2,2,23,28,1
"OTU43.p__Ascomycota.g__Papulaspora",5,0,1,6,1,0,6,2,12,13,2,10,0,2,0,2,0,115,24,4,2,12,1,9,11
"OTU44.p__Basidiomycota.g__Coprinellus",3,0,0,3,3,0,0,0,24,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"OTU45.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis",15,0,6,2,8,7,13,0,21,29,11,1,2,6,5,18,2,13,13,5,1,1,6,2,13
"OTU46.p__Fungi_phy_Incertae_sedis.g__Fungi_gen_Incertae_sedis",18,0,11,8,19,2,12,7,27,15,14,3,15,5,4,127,9,114,56,131,5,33,31,40,23
"OTU47.p__Ascomycota.g__Fusarium",7,0,5,9,53,0,0,0,8,5,3,0,0,0,0,1,0,1,34,2,0,0,0,4,2
"OTU48.p__Ascomycota.g__Sarocladium",0,0,3,0,0,11,0,1,1,0,1,0,13,3,0,1,0,1,0,1,0,0,0,0,2
"OTU49.p__Ascomycota.g__Stachybotryaceae_gen_Incertae_sedis",0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"OTU50.p__Ascomycota.g__Talaromyces",4,6,1,193,9,0,7,1,32,13,7,17,8,4,1,4,6,37,4,5,6,0,5,8,3
"OTU51.p__Basidiomycota.g__Gloeoporus",1,2,2,6,5,2,5,1,5,2,1,0,8,1,4,134,1,13,28,100,1,2,23,117,22
"OTU52.p__Ascomycota.g__Chaetomidium",3,8,13,2,4,11,4,8,4,10,16,2,4,10,0,25,2,5,21,4,0,20,28,18,30
"OTU53.p__Ascomycota.g__Idriella",0,0,15,1,4,3,14,1,19,8,6,1,8,3,0,0,2,0,2,0,1,0,0,1,1
"OTU54.p__Ascomycota.g__Microascales_gen_Incertae_sedis",9,1,0,1,1,0,6,0,22,1,0,0,3,4,1,0,0,0,0,0,1,0,0,1,0
"OTU55.p__Ascomycota.g__Podospora",0,0,0,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU56.p__Ascomycota.g__Eurotiales_gen_Incertae_sedis",0,0,0,0,0,0,1,0,1,5,11,0,6,0,0,0,0,1,0,0,0,0,0,0,0
"OTU57.p__Ascomycota.g__Lasiosphaeriaceae_gen_Incertae_sedis",0,0,1,0,0,8,2,0,4,28,1,0,21,6,0,0,0,0,0,1,0,0,0,1,2
"OTU58.p__Ascomycota.g__Plectosphaerellaceae_gen_Incertae_sedis",0,0,0,1,0,0,9,0,0,43,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU59.p__Ascomycota.g__Acrophialophora",10,1,3,5,6,5,3,0,13,14,6,2,7,12,0,158,1,91,62,44,5,103,60,45,33
"OTU60.p__Ascomycota.g__Acremonium",1,1,10,1,6,5,0,5,4,11,2,0,36,4,1,5,0,16,16,7,1,16,36,81,9
"OTU61.p__Basidiomycota.g__Brachybasidiaceae_gen_Incertae_sedis",7,183,2,2,3,0,2,183,6,15,2,99,2,2,399,0,190,3,0,0,293,0,1,0,0
"OTU62.p__Ascomycota.g__Coniochaeta",3,1,4,4,2,6,5,0,13,17,18,3,7,7,2,11,1,7,9,22,4,7,15,312,12
"OTU63.p__Ascomycota.g__Pleosporales_gen_Incertae_sedis",0,0,9,21,0,0,0,0,17,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0
"OTU64.p__Ascomycota.g__Fusarium",6,1,2,2,8,1,3,0,9,6,4,1,0,7,0,0,0,1,3,0,2,1,0,0,0
"OTU65.p__Ascomycota.g__Emericellopsis",2,0,12,39,24,1,1,0,4,0,0,0,0,2,0,1,0,6,8,4,1,3,8,2,0
"OTU66.p__Basidiomycota.g__Gloeoporus",3,2,9,5,4,2,6,0,4,19,3,1,1,1,1,111,0,19,35,60,4,2,18,112,7
"OTU67.p__Basidiomycota.g__Filobasidium",0,0,0,3,5,0,10,2,0,0,2,0,1,0,3,1,2,4,1,1,1,1,1,0,2
"OTU68.p__Ascomycota.g__Plectosphaerella",4,33,4,0,0,4,4,21,1,19,12,24,1,5,19,0,27,1,0,2,28,9,3,1,3
"OTU69.p__Ascomycota.g__Zopfiella",1,0,0,0,0,1,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU70.p__Basidiomycota.g__Carlosrosaea",6,53,10,1,4,0,1,140,5,4,1,70,0,4,126,0,127,0,0,0,165,0,0,0,0
