"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU554.p__Basidiomycota.g__Marasmius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU555.p__Ascomycota.g__Sordariomycetes_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,4,0
"OTU556.p__Chytridiomycota.g__Spizellomycetales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU557.p__Basidiomycota.g__Tremellales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU558.p__Ascomycota.g__Ceramothyrium",0,19,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
"OTU559.p__Ascomycota.g__Neodevriesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU560.p__Ascomycota.g__Sordariales_gen_Incertae_sedis",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU561.p__Ascomycota.g__Sordariales_gen_Incertae_sedis",3,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU562.p__Ascomycota.g__Fusarium",0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,3,0,11,0
"OTU563.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU564.p__Ascomycota.g__Cucurbitariaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU565.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU566.p__Ascomycota.g__Protomyces",0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"OTU567.p__Ascomycota.g__Knufia",0,41,0,0,0,0,0,11,1,0,0,9,0,0,4,0,2,0,0,0,8,0,0,0,0
"OTU568.p__Ascomycota.g__Sporothrix",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,5,6,4,4
"OTU569.p__Ascomycota.g__Gymnoascus",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0
"OTU570.p__Ascomycota.g__Fusarium",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,14,0,6,1
"OTU571.p__Ascomycota.g__Fusarium",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU572.p__Ascomycota.g__Fusarium",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,16,3,0,0,0,0,0,0
"OTU573.p__Mortierellomycota.g__Mortierella",0,0,0,0,5,0,1,0,3,0,1,2,0,0,0,6,0,1,13,0,0,4,3,12,0
"OTU574.p__Ascomycota.g__Sordariales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,2,0,5,1
"OTU575.p__Ascomycota.g__Fusarium",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU576.p__Ascomycota.g__Podospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,1,0,0
"OTU577.p__Basidiomycota.g__Vishniacozyma",1,13,0,0,0,0,0,6,1,0,0,3,0,1,10,0,2,0,0,0,10,0,0,0,0
"OTU578.p__Basidiomycota.g__Stephanosporaceae_gen_Incertae_sedis",0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU579.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU580.p__Ascomycota.g__Staphylotrichum",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"OTU581.p__Ascomycota.g__Helicoma",0,0,0,0,2,0,0,0,1,0,0,40,1,0,2,0,4,0,0,0,2,0,0,0,0
"OTU582.p__Ascomycota.g__Cryptophiale",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU583.p__Ascomycota.g__Parawilcoxina",0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
"OTU584.p__Ascomycota.g__Pyrenochaetopsis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU585.p__Ascomycota.g__Sarcopodium",0,28,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU586.p__Ascomycota.g__GS35_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU587.p__Ascomycota.g__Eurotiomycetes_gen_Incertae_sedis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU588.p__Ascomycota.g__Hymenoscyphus",0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU589.p__Chytridiomycota.g__Gromochytrium",0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU590.p__Ascomycota.g__Pseudoechria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
"OTU592.p__Basidiomycota.g__Sporobolomyces",1,0,2,0,0,0,1,18,0,2,3,3,0,5,19,0,25,0,0,0,10,0,0,0,0
"OTU593.p__Ascomycota.g__Magnaporthiopsis",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU594.p__Basidiomycota.g__Kockovaella",0,27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU595.p__Fungi_phy_Incertae_sedis.g__Fungi_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,1,0,0,0,0,0
"OTU596.p__Ascomycota.g__Pezizomycotina_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU597.p__Ascomycota.g__Pleosporales_gen_Incertae_sedis",0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
"OTU598.p__Ascomycota.g__Capronia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU599.p__Ascomycota.g__Ceramothyrium",0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0
"OTU600.p__Ascomycota.g__Fusarium",0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU601.p__Ascomycota.g__Fusarium",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU602.p__Ascomycota.g__Hansfordia",0,18,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0
"OTU603.p__Chytridiomycota.g__Spizellomycetales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU604.p__Chytridiomycota.g__Chytridiomycota_gen_Incertae_sedis",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,13,2,3,1
"OTU605.p__Basidiomycota.g__Subulicystidium",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,3,1,0
"OTU606.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis",0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,1,3,16,6,3,0,0,0,0,0
"OTU607.p__Chytridiomycota.g__Spizellomyces",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"OTU608.p__Ascomycota.g__Teratosphaeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"OTU609.p__Ascomycota.g__Schwanniomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU610.p__Ascomycota.g__Pleopunctum",283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU611.p__Glomeromycota.g__Glomeraceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU612.p__Glomeromycota.g__Glomeraceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"OTU613.p__Basidiomycota.g__Conocybe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU614.p__Ascomycota.g__Podospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU615.p__Ascomycota.g__Sordariomycetes_gen_Incertae_sedis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"OTU616.p__Ascomycota.g__Acremonium",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0
"OTU617.p__Ascomycota.g__Fusarium",4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,8
"OTU618.p__Glomeromycota.g__Rhizophagus",0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,7,0,3,0,2,0,0,0,0,0
"OTU619.p__Ascomycota.g__Corynespora",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU620.p__Ascomycota.g__Fusarium",3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU621.p__Basidiomycota.g__Dioszegia",0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"OTU622.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,0,2,0,1,0,0,0,0,4,1,1,1,1,0,13,0,8,3,24,1,9,11,3,5
"OTU623.p__Basidiomycota.g__Symmetrospora",0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,0,1,2,0,0,0,0
"OTU624.p__Basidiomycota.g__Hygrocybe",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU625.p__Chytridiomycota.g__Rhizophydiales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,6,0,1,0,1,0
"OTU626.p__Basidiomycota.g__Agaricomycetes_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU627.p__Ascomycota.g__Herpotrichiellaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,6,3
"OTU628.p__Glomeromycota.g__Glomeraceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU629.p__Basidiomycota.g__Pseudozyma",0,0,0,0,0,0,0,9,0,0,0,6,0,0,14,1,3,0,0,0,4,0,0,0,0
"OTU630.p__Ascomycota.g__Dermateaceae_gen_Incertae_sedis",1,0,1,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU631.p__Fungi_phy_Incertae_sedis.g__Fungi_gen_Incertae_sedis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4
"OTU632.p__Ascomycota.g__Coniothyrium",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU633.p__Ascomycota.g__Cephaliophora",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU634.p__Ascomycota.g__Saccharomycetaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU635.p__Chytridiomycota.g__Chytridiomycota_gen_Incertae_sedis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU636.p__Ascomycota.g__Fusarium",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU637.p__Ascomycota.g__Xylariaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU638.p__Kickxellomycota.g__Ramicandelaber",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,8,3,3
"OTU639.p__Ascomycota.g__Strelitziana",0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
"OTU640.p__Ascomycota.g__Amphisphaeria",1,10,0,0,3,0,0,5,0,0,0,5,0,0,1,0,1,0,0,0,2,0,0,0,0
"OTU641.p__Ascomycota.g__Stictidaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,3,0,0,0,28,0,1,4,0,4,0,0,0,2,0,0,0,0
"OTU642.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU643.p__Ascomycota.g__Acremonium",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,2,0,0,0,0,0
"OTU644.p__Ascomycota.g__Cladophialophora",0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU645.p__Ascomycota.g__Retiarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU646.p__Ascomycota.g__Hypocreales_gen_Incertae_sedis",0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
"OTU647.p__Glomeromycota.g__Rhizophagus",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU648.p__Ascomycota.g__Strelitziana",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU649.p__Basidiomycota.g__Psathyrella",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU650.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis",0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0
"OTU651.p__Chytridiomycota.g__Spizellomycetales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU652.p__Ascomycota.g__Scopulariopsis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU653.p__Ascomycota.g__Fusarium",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,3,3,1
"OTU654.p__Chytridiomycota.g__Lobulomycetales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU655.p__Ascomycota.g__Fusarium",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU656.p__Ascomycota.g__Leotiaceae_gen_Incertae_sedis",0,28,1,0,0,0,1,5,0,1,0,0,0,1,4,0,9,0,0,0,0,0,0,0,0
"OTU657.p__Glomeromycota.g__Rhizophagus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0
"OTU658.p__Ascomycota.g__Humicola",2,0,0,0,4,2,4,11,5,1,0,10,1,0,9,0,9,0,0,0,3,20,8,23,13
"OTU659.p__Ascomycota.g__Ceramothyrium",0,1,0,1,0,0,0,20,0,0,2,13,0,0,16,0,2,0,0,0,10,0,0,0,0
"OTU660.p__Ascomycota.g__Herpotrichiellaceae_gen_Incertae_sedis",0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU661.p__Basidiomycota.g__Geminibasidium",0,0,0,0,0,0,0,0,1,0,0,0,504,0,0,2,0,0,0,0,0,0,0,0,0
"OTU662.p__Ascomycota.g__Coniosporium",0,4,0,0,0,0,0,4,0,1,0,16,0,0,6,0,5,0,0,0,4,0,0,0,0
"OTU663.p__Kickxellomycota.g__Ramicandelaber",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,1
"OTU664.p__Ascomycota.g__Ramichloridium",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU665.p__Glomeromycota.g__Glomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"OTU666.p__Ascomycota.g__Microascus",2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,2,3,3,0,0,0,0,0
"OTU667.p__Ascomycota.g__Eurotiomycetes_gen_Incertae_sedis",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,0,2,0,0,0,0,0
"OTU668.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU669.p__Chytridiomycota.g__Spizellomycetales_gen_Incertae_sedis",1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0
"OTU670.p__Ascomycota.g__Thermomyces",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU671.p__Ascomycota.g__Arthrographis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU672.p__Ascomycota.g__Fusarium",3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU673.p__Ascomycota.g__Pleosporales_gen_Incertae_sedis",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU674.p__Ascomycota.g__Microascus",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"OTU675.p__Ascomycota.g__Pezicula",0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"OTU676.p__Ascomycota.g__Ochroconis",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,3,1,2,0,0,0,2,1
"OTU677.p__Ascomycota.g__Fusarium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU678.p__Ascomycota.g__Trichoderma",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU679.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU680.p__Ascomycota.g__Eucalyptostroma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU681.p__Ascomycota.g__Gliomastix",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0
"OTU682.p__Ascomycota.g__Sordariomycetes_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU683.p__Ascomycota.g__Microascus",0,0,0,0,0,87,0,0,2,0,0,0,0,0,0,0,0,1,5,0,1,0,0,2,2
"OTU684.p__Ascomycota.g__Staphylotrichum",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU685.p__Basidiomycota.g__Trechispora",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU686.p__Ascomycota.g__Akanthomyces",0,0,0,0,0,114,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU687.p__Basidiomycota.g__Conocybe",0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0
"OTU689.p__Ascomycota.g__Teratoramularia",0,0,0,0,0,0,0,5,0,0,0,5,0,0,2,0,3,0,0,0,2,0,0,0,0
"OTU691.p__Ascomycota.g__Talaromyces",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU692.p__Ascomycota.g__Pyronemataceae_gen_Incertae_sedis",0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"OTU693.p__Ascomycota.g__Clonostachys",1,1,0,1,1,0,13,0,0,7,0,22,0,0,4,0,5,0,0,0,4,1,0,0,0
"OTU694.p__Kickxellomycota.g__Ramicandelaber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0
"OTU695.p__Mortierellomycota.g__Mortierella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU696.p__Ascomycota.g__Devriesia",0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU697.p__Ascomycota.g__Nigrospora",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"OTU698.p__Fungi_phy_Incertae_sedis.g__Fungi_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,1,1,0,0,1,0,0,0
"OTU699.p__Ascomycota.g__Arcuadendron",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2,0
"OTU700.p__Ascomycota.g__Penicillium",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,3,0,1
"OTU701.p__Basidiomycota.g__Cristinia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU702.p__Mortierellomycota.g__Mortierellaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU703.p__Glomeromycota.g__Glomeraceae_gen_Incertae_sedis",0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"OTU704.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis",0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU705.p__Ascomycota.g__Fusarium",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU706.p__Ascomycota.g__Eurotiales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU707.p__Ascomycota.g__Pseudomicrodochium",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU708.p__Ascomycota.g__Periconia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,4,0,0,0,0
"OTU709.p__Ascomycota.g__Sordariomycetes_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,7,3,0,0,0,0,0
"OTU710.p__Ascomycota.g__Uwebraunia",0,0,0,0,0,0,0,10,0,0,0,18,0,0,1,0,1,0,0,0,1,0,0,0,0
"OTU711.p__Glomeromycota.g__Claroideoglomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
"OTU712.p__Ascomycota.g__Parazalerion",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU713.p__Basidiomycota.g__Basidiomycota_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU714.p__Ascomycota.g__Pseudophialocephala",0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU715.p__Basidiomycota.g__Basidiomycota_gen_Incertae_sedis",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU716.p__Basidiomycota.g__Dermoloma",0,0,0,0,0,54,0,0,0,0,0,8,345,0,0,0,0,0,0,0,0,0,0,0,0
"OTU717.p__Ascomycota.g__Onygenales_gen_Incertae_sedis",1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,5,2,3,0,0,0,0,0
"OTU718.p__Chytridiomycota.g__Spizellomycetales_gen_Incertae_sedis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU719.p__Ascomycota.g__Neoacrodontiella",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU720.p__Chytridiomycota.g__Spizellomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
"OTU721.p__Rozellomycota.g__Rozellomycota_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU722.p__Basidiomycota.g__Brachybasidiaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0
"OTU723.p__Ascomycota.g__Fusarium",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU724.p__Ascomycota.g__Pezizomycotina_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU725.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"OTU726.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU727.p__Basidiomycota.g__Basidiomycota_gen_Incertae_sedis",0,18,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU728.p__Ascomycota.g__Phloeospora",0,11,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
"OTU729.p__Basidiomycota.g__Bolbitiaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU730.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,17,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,5,0,0,0,0
