OTU ID	CKB1	CKB2	CKB3	CKB4	CKB5	CKB6	CKB7	CKB8	CKJ1	CKJ10	CKJ2	CKJ3	CKJ4	CKJ5	CKJ6	CKJ7	CKJ8	CKJ9	CKU1	CKU2	CKU3	CKU4	CKU5	CKU6	CKU7	CKU8	CKY1	CKY2	CKY3	CKY4	CKY5	CLU1	CLU2	CLU3	CLU4	CLU5	DDH1	DDH2	DDH3	DDL2	DDL22	DDL3	DDL4	DDN1	DDN2	DDN3	DDN4	DDN5	GLH1	GLH2	GLH3	GLL2	GLL3	GLL4	GLN1	GLN2	GLN3	GLN4	GLN5	JPU1	JPU2	JPU3	JPU4	JPU5	MHU1	MHU2	MHU3	MHU4	MHU5	TGH1	TGH2	TGH3	TGL2	TGL3	TGL4	TJH1	TJH2	TJH3	TJL2	TJL3	TJL4	TJN1	TJN2	TJN3	TJN4	TJN5	YMH1	YMH2	YMH3	YML2	YML3	YML4	YMN1	YMN2	YMN3	YMN4	YMN5	YMU1	YMU2	YMU3	YMU4	YMU5
OTU393	0	1	0	0	0	0	1	1	0	0	2	1	0	1	0	0	0	0	0	0	536	0	0	2	1	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	16	0	0	7	1	0	0	0	0	0	0	0	0	8	4	0	0	0	64	0	0	186	0	72	9	2	2	0	0	0	0	3	0	0	1	0	0	0	0	0	3	0	0	53	0	0	0	4	1	0	11	0	1	0	0	87	0	0	0	0
OTU394	4	3	2	1	0	0	16	3	1	0	5	4	10	14	0	0	0	0	0	0	0	0	0	0	4	0	81	84	99	189	55	0	4	0	8	4	6	1	26	0	8	16	2	16	54	44	20	31	26	33	7	20	154	7	21	21	82	27	60	1	2	2	0	0	1	1	4	0	1	66	213	64	42	107	30	15	36	1	75	41	1042	85	76	28	19	8	8	11	29	25	29	13	8	24	12	18	5	0	0	0	2	0
OTU395	3	0	0	1	0	0	8	0	3	2	3	0	0	13	0	0	0	0	0	0	0	1	3	5	0	0	3	3	1	0	4	0	0	0	7	0	3	160	129	0	28	3	9	1	0	6	3	0	16	40	7	6	12	11	0	2	27	11	1	0	0	0	0	0	0	1	0	0	0	8	0	150	0	26	2	127	185	65	7	58	18	0	1	2	0	5	25	40	8	7	3	14	1	7	3	1	0	0	0	0	0	0
OTU396	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	5	1	1	34	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0	7	1	744	81	10	416
OTU397	0	2	0	0	0	0	0	1	0	0	1	0	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	9	7	0	1	5	2	0	0	0	0	0	0	11	62	0	46	121	35	0	97	5	40	73	148	1	26	3	38	25	0	0	2	4	0	0	0	0	0	0	0	0	0	3	8	24	0	0	9	0	7	0	2	7	89	116	59	3	0	2	5	16	0	0	9	7	15	62	53	0	0	0	1	3
OTU398	0	0	0	0	0	0	1	5	0	0	0	0	11	0	0	0	0	0	1090	0	1	0	2	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	532	25	0	465	0	0	1	3	15	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	0	0
OTU399	4	0	0	0	0	0	0	1	5	0	4	0	4	5	1	0	0	0	0	0	0	1	4	0	1	3	10	100	31	14	10	0	0	2	2	0	74	62	79	0	38	47	50	1	0	5	61	4	15	34	39	27	37	14	1	3	16	15	7	0	0	0	0	0	0	0	45	12	3	167	145	133	15	25	33	40	182	56	46	37	56	1	10	11	16	1	115	89	90	24	22	22	4	11	5	2	9	0	2	0	0	0
OTU4	71	148	2	99	1	4	73	265	270	5	204	200	462	799	27	3	9	1	142	1	45	89	92	121	87	33	707	9157	888	3256	1000	848	110	192	324	66	971	1065	4377	1	7077	3634	1089	2529	4480	1575	2142	1891	3164	4043	9492	2138	2392	1748	2093	3044	4925	1649	3036	180	75	27	38	113	5839	189	10584	8032	17718	4001	2709	1737	4338	4987	1627	6104	2646	1359	2986	490	1227	4796	1430	1157	1698	486	1490	737	12606	3061	1159	552	686	2715	1052	1253	1366	210	9764	4792	2252	1342
OTU40	0	30	0	35	0	1	7	2	48	14	118	91	140	160	3	0	3	0	7	0	2	15	30	3	0	0	705	141	5212	52	2134	0	7	12	2	3	377	1474	45	0	36	586	50	15	131	533	115	14	9	429	286	33	545	16	41	17	1539	272	57	1	2	0	0	22	2	0	41	33	38	4330	474	65	11	415	2306	182	5468	1616	17	23	287	39	32	22	7	19	954	241	179	171	31	6	21	251	19	368	22	7	7	0	13	15
OTU400	1	14	3	0	0	0	0	3	5	0	1	3	14	8	1	0	0	0	0	0	0	2	1	0	3	0	1	40	45	31	6	0	0	0	28	1	2	0	6	0	6	19	34	39	117	26	5	21	14	49	91	20	104	3	16	23	140	20	155	2	0	1	0	0	0	2	2	0	4	29	0	1047	10	43	6	0	20	31	73	0	3	44	17	34	6	1	9	68	7	23	11	13	25	18	17	27	75	1	0	0	0	3
